Date, Open, Close/Last, Volume, High, Low
10/22/2012,87.49,90.5757,136374671,$90.77 ,$87.25 
10/23/2012,90.14,87.6222,176497913,$90.56 ,$87.39 
10/24/2012,88.78,88.1185,139246492,$89.51 ,$87.23 
10/25/2012,88.57,87.0768,159313328,$88.86 ,$86.51 
10/26/2012,87.06,86.2857,254608276,$87.71 ,$84.43 
10/31/2012,84.98,85.0457,127361118,$85.99 ,$83.96 
11/1/2012,85.46,85.22,90287637,$86.14 ,$84.88 
11/2/2012,85.13,82.4,149722555,$85.28 ,$82.11 
11/5/2012,83.36,83.5173,132221850,$83.97 ,$82.51 
11/6/2012,84.32,83.2642,93580438,$84.39 ,$82.87 
11/7/2012,81.98,79.7145,198152419,$82.08 ,$79.39 
11/8/2012,80.09,76.8214,263467059,$80.32 ,$76.47 
11/9/2012,77.2,78.1514,232298080,$79.27 ,$76.25 
11/12/2012,79.16,77.5471,128801509,$79.21 ,$76.95 
11/13/2012,76.99,77.5568,133201920,$78.64 ,$76.62 
11/14/2012,77.93,76.6971,119026076,$78.21 ,$76.60 
11/15/2012,76.79,75.0885,197157859,$77.07 ,$74.66 
11/16/2012,75.03,75.3825,316194785,$75.71 ,$72.25 
11/19/2012,77.24,80.8185,205441312,$81.07 ,$77.13 
11/20/2012,81.7,80.1305,160537558,$81.71 ,$79.23 
11/21/2012,80.61,80.2428,93231278,$81.05 ,$79.51 
11/23/2012,81.02,81.6428,68206599,$81.71 ,$80.37 
11/26/2012,82.27,84.2185,157238387,$84.29 ,$81.96 
11/27/2012,84.22,83.54,133099650,$84.35 ,$82.87 
11/28/2012,82.47,83.2771,130112749,$83.69 ,$81.75 
11/29/2012,84.32,84.1943,128394879,$84.89 ,$83.61 
11/30/2012,83.83,83.6114,97622309,$84.06 ,$83.24 
12/3/2012,84.81,83.7414,90911547,$84.94 ,$83.64 
12/4/2012,83.11,82.2636,138712182,$83.11 ,$81.73 
12/5/2012,81.27,76.9703,259803118,$81.32 ,$76.97 
12/6/2012,75.56,78.1778,294065958,$79.04 ,$74.09 
12/7/2012,79.06,76.1785,196603459,$79.31 ,$75.71 
12/10/2012,75,75.6887,157477787,$76.93 ,$74.51 
12/11/2012,77.11,77.3411,147820794,$78.51 ,$76.77 
12/12/2012,78.25,77,121630216,$78.29 ,$76.61 
12/13/2012,75.88,75.67,155971877,$76.81 ,$75.11 
12/14/2012,73.54,72.8277,252115436,$74.02 ,$72.23 
12/17/2012,72.7,74.1185,189181917,$74.29 ,$71.60 
12/18/2012,75,76.2714,156143657,$76.41 ,$74.32 
12/19/2012,75.92,75.1871,112061074,$76.24 ,$75.07 
12/20/2012,75.71,74.5329,120153986,$75.74 ,$74.13 
12/21/2012,73.21,74.19,148609695,$74.24 ,$72.89 
12/24/2012,74.34,74.3097,43936990,$74.89 ,$74.10 
12/26/2012,74.14,73.2856,75475003,$74.21 ,$73.02 
12/27/2012,73.36,73.58,113575314,$73.75 ,$72.09 
12/28/2012,72.9,72.7984,88117426,$73.50 ,$72.59 
12/31/2012,72.93,76.0247,164519649,$76.49 ,$72.71 
1/2/2013,79.12,78.4328,139906732,$79.29 ,$77.38 
1/3/2013,78.27,77.4422,88054216,$78.52 ,$77.29 
1/4/2013,76.71,75.2857,148374285,$76.95 ,$75.12 
1/7/2013,74.57,74.8428,120838376,$75.61 ,$73.60 
1/8/2013,75.6,75.0443,114451364,$75.98 ,$74.46 
1/9/2013,74.64,73.8714,101748741,$75.00 ,$73.71 
1/10/2013,75.51,74.7871,149986665,$75.53 ,$73.65 
1/11/2013,74.43,74.3285,87569116,$75.05 ,$74.15 
1/14/2013,71.81,71.6785,183021145,$72.50 ,$71.22 
1/15/2013,71.19,69.4171,217802615,$71.28 ,$69.05 
1/16/2013,70.66,72.2985,172393952,$72.78 ,$70.36 
1/17/2013,72.9,71.8114,112900444,$72.96 ,$71.72 
1/18/2013,71.22,71.4285,116987465,$71.75 ,$70.91 
1/22/2013,72.08,72.11,114745924,$72.55 ,$70.95 
1/23/2013,72.69,73.4293,191090117,$73.57 ,$72.11 
1/24/2013,65.71,64.3571,364459099,$66.53 ,$64.32 
1/25/2013,64.53,62.84,301617420,$65.18 ,$62.14 
1/28/2013,62.55,64.2614,195771859,$64.74 ,$62.27 
1/29/2013,65.5,65.4671,142486933,$65.74 ,$64.59 
1/30/2013,65.29,65.2614,104140851,$66.09 ,$64.93 
1/31/2013,65.28,65.07,79445474,$65.61 ,$65.00 
2/1/2013,65.59,64.8028,134704470,$65.64 ,$64.05 
2/4/2013,64.84,63.188,119044766,$65.13 ,$63.14 
2/5/2013,63.44,65.4063,142959083,$65.68 ,$63.17 
2/6/2013,65.21,65.3357,148003914,$66.64 ,$64.65 
2/7/2013,66.18,66.8886,175627813,$67.14 ,$64.87 
2/8/2013,67.71,67.8543,158143417,$68.40 ,$66.89 
2/11/2013,68.07,68.5614,128206578,$69.28 ,$67.61 
2/12/2013,68.5,66.8428,151743386,$68.91 ,$66.82 
2/13/2013,66.74,66.7157,118682866,$67.66 ,$66.17 
2/14/2013,66.36,66.6557,88785717,$67.38 ,$66.29 
2/15/2013,66.98,65.7371,97873819,$67.17 ,$65.70 
2/19/2013,65.87,65.7128,108820003,$66.10 ,$64.84 
2/20/2013,65.38,64.1214,118823076,$65.38 ,$64.11 
2/21/2013,63.71,63.7228,111563653,$64.17 ,$63.26 
2/22/2013,64.18,64.4014,82560265,$64.51 ,$63.80 
2/25/2013,64.84,63.2571,92813518,$65.02 ,$63.22 
2/26/2013,63.4,64.1386,125040618,$64.51 ,$62.52 
2/27/2013,64.06,63.51,146554914,$64.63 ,$62.95 
